SJEU8777103: 28.233.918/3530-92<->65.419.099/1075-13
IHVU7455809: 58.835.836/5719-81<->19.238.252/3356-98
WDJZ0863096: 61.055.875/9294-39<->64.146.928/6733-94
DQNU5818184: 99.116.291/0290-93<->22.157.308/4266-10
GEXU6470628: 89.692.191/9188-99<->53.608.686/1108-45
YMHZ2842663: 28.983.470/2814-97<->37.900.639/0956-08
ERPZ2896291: 10.995.049/4063-52<->26.068.803/9572-52
XSUJ5542225: 49.853.345/3804-45<->67.842.158/0965-14
EFEZ3331738: 48.945.823/7791-93<->28.913.645/6648-95
FGDJ0667071: 72.833.633/2635-77<->34.671.947/4600-37
IZNJ0048447: 68.311.280/2302-32<->46.027.515/6834-93
VDXU4381909: 45.714.938/8980-88<->62.522.181/0515-91
WJDZ0258058: 73.425.376/9954-19<->89.248.099/5289-73
LWPU5108194: 36.640.539/6690-20<->40.213.321/0637-21
LVRJ4714883: 45.673.658/3915-70<->57.102.887/2647-84
BVFJ7801170: 94.941.504/6246-19<->28.763.825/8308-48
GZCZ3623004: 44.071.967/1639-90<->56.496.837/3331-95
OQYU3947235: 01.280.722/7451-21<->08.728.790/1431-81
JUVZ2346176: 85.875.214/6365-85<->86.983.360/0909-37
CHBU0789619: 96.298.411/5942-88<->28.909.351/8246-25
LCOJ6155910: 50.610.103/2526-23<->60.120.892/3472-68
FMMU0696184: 30.943.110/6359-23<->13.475.244/0981-28
TMUU3476057: 06.365.825/2415-30<->97.951.703/1225-45
GYYJ7112411: 99.712.205/2911-63<->36.108.071/5827-47
MXTJ1510134: 07.715.138/0789-57<->08.892.793/9039-50
IUXZ4980277: 21.756.636/9919-94<->14.146.557/6476-87
TIYU9688825: 78.012.479/5778-87<->87.336.351/2490-30
WLYU4167681: 78.147.948/7070-92<->92.992.489/5170-95
EWJJ5786027: 49.911.434/1211-50<->75.896.310/6739-73
LLLZ0453782: 55.312.307/0259-48<->25.639.111/4075-70
FWBJ5851834: 43.915.174/7596-20<->45.263.713/0108-32
DDWJ9979739: 46.172.448/3845-76<->74.920.902/5387-47
UASJ0834050: 38.381.301/0369-99<->45.042.597/9459-85
JRWJ9388699: 76.110.037/2065-30<->95.423.355/5705-61
UPYU6976217: 32.376.296/8759-85<->11.658.387/9246-76
XROU1906378: 64.206.402/0877-90<->53.017.817/8495-81
QAIZ5791576: 96.117.582/0380-89<->71.593.084/0186-39
HVXZ8925901: 56.725.114/1696-40<->38.990.327/5397-15
CYJU6643086: 14.134.029/7665-70<->15.316.056/6561-10
TFSJ2882214: 92.476.703/6834-63<->38.776.676/0260-80
OVQJ6530198: 35.357.052/1074-46<->38.964.255/0226-13
LKRJ8821638: 09.393.120/9741-88<->64.945.171/1834-97
YKJU6993269: 04.723.137/6166-21<->09.650.931/6679-55
ATKJ5730230: 87.362.071/9986-55<->33.567.802/3149-35
VKXJ3516395: 69.185.162/1068-36<->34.707.790/7089-74
NYMU3567360: 09.363.116/9981-36<->58.585.531/0561-99
BIWJ7990105: 11.569.828/1909-44<->94.967.379/5890-63
YEXZ0999728: 94.766.997/6459-71<->79.366.917/7841-24
VMTJ4431625: 63.846.291/6197-94<->41.839.874/2949-09
XIUU9474162: 79.200.386/7055-96<->59.583.340/4245-68
DGMU0464367: 43.886.499/2401-99<->29.582.751/1334-92
DPIZ6487393: 16.185.517/7581-55<->77.957.638/3903-64
NHRZ9955294: 33.729.622/4379-14<->58.918.776/0807-54
JWCZ9157012: 54.911.832/2517-21<->35.677.118/4481-67
LQNJ4274180: 32.863.013/9970-72<->40.516.580/3985-77
HQMJ0290410: 58.198.636/6427-99<->44.851.958/8859-75
YGTZ8867726: 65.041.434/1565-33<->26.239.807/6997-23
QWLJ3306867: 90.038.570/5507-88<->36.807.276/0774-54
OYVJ9847796: 73.710.547/1010-60<->83.771.642/6836-44
SWVJ4787974: 93.456.627/3975-48<->37.282.599/5358-98
OMBU4981779: 94.508.037/2963-90<->68.973.983/0741-32
IZFJ3787954: 34.957.611/0017-95<->66.984.951/7359-48
LBBZ5083861: 88.164.514/1266-39<->21.730.203/7510-32
VIPU1441812: 75.305.820/7914-76<->43.029.624/0568-23
AFOZ2336841: 00.874.904/7887-73<->44.488.974/8442-24
GBZZ6370385: 41.526.003/5828-29<->65.649.005/4737-78
MOCZ1888142: 30.320.506/2442-73<->74.746.846/3413-21
BPIU2667962: 45.723.607/0740-35<->70.159.763/0543-53
UQTU8480131: 35.115.989/8235-06<->29.611.536/0213-36
KGHU1184367: 24.576.474/3191-48<->54.787.603/3269-99
XAHU6107545: 46.438.030/6377-43<->67.009.469/5774-26
CYWZ2522108: 45.793.679/7340-72<->80.009.689/4820-89
UMTU8084144: 50.770.639/2964-78<->39.137.960/5438-59
SUMZ8266193: 83.056.890/5658-06<->50.561.032/4179-05
LMUU1218616: 36.164.461/9536-43<->21.105.436/2931-22
EGLU9554300: 27.242.657/5264-66<->15.473.111/9764-61
FGNJ7795251: 37.649.447/5685-11<->79.889.216/0999-31
IDDZ8290358: 17.946.283/3255-47<->88.239.709/0192-75
POYZ6390401: 71.525.351/4540-55<->39.177.800/8726-12
SIXJ9596188: 07.033.615/3958-57<->32.739.385/5555-71
ZQSZ8836571: 79.794.868/6687-18<->49.026.728/0224-82
XRMZ3436447: 59.131.067/6021-84<->61.237.262/2080-05
PBVJ7073496: 57.480.898/6178-03<->36.526.731/8493-32
LNVZ1654063: 72.865.097/6586-05<->17.613.349/7434-57
OSIZ3973237: 58.672.483/9615-85<->27.799.705/8439-97
ESBJ1471046: 97.521.696/3497-57<->83.292.965/3619-39
DYUJ6610279: 77.988.120/7135-38<->91.531.961/3704-42
FTDU8520910: 14.366.775/4395-76<->47.535.560/6598-71
GASZ2472503: 26.540.700/9791-80<->38.977.891/7040-34
YLVJ6886092: 03.826.228/3892-54<->55.177.460/4820-99
PXVU3282207: 23.868.205/2355-41<->13.803.153/3372-33
IPVZ2079735: 09.465.711/8843-89<->54.769.873/2768-78
HPKJ9064774: 04.575.773/6042-54<->02.846.165/0995-56
POAJ7526863: 76.739.031/9538-27<->66.085.854/9364-03
HVNJ7408227: 88.218.295/3506-64<->67.836.522/7516-34
LMIU7509199: 50.201.758/6536-88<->36.868.909/6470-94
WHKZ3467431: 12.324.489/0072-63<->22.038.051/5274-97
OBVZ5303543: 20.350.605/0489-47<->88.957.110/0315-87
TLRU3037311: 40.492.540/6346-87<->38.182.542/3713-94
ATGU6806085: 52.382.419/6648-80<->40.305.620/6755-03
TJSU6098335: 12.678.749/4928-83<->48.532.729/8323-18
NWAJ8789401: 00.463.397/1667-29<->84.551.497/1905-89
YLYU8487735: 23.794.865/8445-02<->08.029.040/7070-03
ZDYJ2978836: 10.745.185/6978-91<->68.397.484/0476-25
LTEZ3928371: 93.699.292/6139-00<->03.529.861/4937-21
CLEZ6538947: 49.757.953/8819-47<->85.632.496/4564-77
ODKU8487686: 96.940.670/5114-73<->67.269.287/7392-24
QCTU7720392: 21.895.348/5631-44<->05.539.236/3708-39
ASFJ0699762: 00.153.423/3164-65<->64.336.876/2342-82
WYRZ7169348: 01.031.097/1813-11<->16.411.686/0686-87
DRCU3608952: 69.463.031/3756-54<->15.754.655/1696-94
BADZ2212520: 58.997.417/3313-46<->54.725.293/3487-70
HAYU6277602: 47.837.127/3990-45<->32.727.532/9634-08
MXCU9928214: 07.313.413/7075-47<->50.222.506/7162-00
CPBU1272853: 03.608.446/4369-81<->82.992.526/2561-54
JVLZ0010015: 07.958.204/6040-52<->70.886.675/2221-65
SRLU7298974: 58.585.275/1035-58<->14.068.134/7916-56
EGVZ4274729: 21.588.592/6085-42<->53.177.798/3614-89
UIMU4459323: 73.665.162/2775-82<->88.671.205/8653-84
FEMU8446717: 67.348.972/7899-68<->83.854.404/7566-18
