[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[1] N(413) HP(1670) HA(2090) HM(2174) PP(2480) PM(2666) PA(2714)
[2] N(768) HP(3251) HA(4050) HM(4194) PM(5322) PP(5947) PA(6701)
[3] N(984) HP(1967) HA(3603) HM(3932) PM(6046) PA(7122) PP(486586)
[4] N(415) HP(1641) HA(2085) HM(2163) PP(2557) PM(2690) PA(3029)
[5] N(191) HP(719) HA(924) HM(952) PM(1046) PA(1143) PP(1276)
[6] N(490) HP(979) HA(1795) HM(1957) PM(2772) PA(3076) PP(121273)
[7] N(431) HP(1727) HA(2225) HM(2271) PM(2524) PP(2942) PA(3398)
[8] N(576) HP(2381) HA(2964) HM(3074) PP(3901) PM(3998) PA(4295)
[9] N(508) HP(2133) HA(2622) HM(2710) PP(3306) PM(3350) PA(3814)
[10] N(338) HP(1342) HA(1700) HM(1744) PM(2068) PP(2086) PA(2552)
[11] N(842) HP(3627) HA(4491) HM(4667) PP(5553) PM(5606) PA(6447)
[12] N(54) HP(179) PM(227) HA(236) PP(239) HM(241) PA(305)
[13] N(549) HP(2288) HA(2830) HM(2950) PM(3571) PP(4489) PA(4937)
[14] N(173) HP(654) HA(818) HM(856) PM(875) PA(1068) PP(1189)
[15] N(636) HP(2680) HA(3334) HM(3464) PM(3883) PP(4420) PA(5737)
[16] N(792) HP(3371) HA(4193) HM(4373) PM(5242) PA(5706) PP(5718)
[17] N(703) HP(2990) HA(3691) HM(3821) PM(4483) PP(4944) PA(5479)
[18] N(973) HP(4217) HA(5219) HM(5402) PM(6299) PP(7417) PA(7647)
[19] N(451) HP(1804) HA(2273) HM(2384) PM(2625) PP(2948) PA(3416)
[20] N(616) HP(2571) HA(3271) HM(3324) PM(4207) PP(4326) PA(4525)
[21] N(852) HP(3636) HA(4507) HM(4654) PM(5855) PP(6567) PA(6636)
[22] N(134) HP(498) HA(615) HM(644) PM(696) PP(745) PA(927)
[23] N(232) HP(890) HA(1133) HM(1170) PP(1372) PM(1454) PA(1540)
[24] N(495) HP(2042) HA(2536) HM(2590) PM(2909) PP(3220) PA(3623)
[25] N(965) HP(4209) HA(5137) HM(5353) PM(6413) PP(6845) PA(8088)
[26] N(538) HP(2232) HA(2798) HM(2849) PM(3142) PP(4052) PA(4507)
[27] N(142) HP(523) HA(678) HM(689) PP(799) PM(871) PA(986)
[28] N(596) HP(2501) HA(3102) HM(3230) PM(3799) PP(4008) PA(4330)
[29] N(780) HP(3338) HA(4154) HM(4267) PM(5159) PP(5430) PA(6297)
[30] N(274) HP(1076) HA(1340) HM(1409) PP(1566) PM(1577) PA(2121)
[31] N(517) HP(2096) HA(2670) HM(2746) PP(3468) PM(3621) PA(3691)
[32] N(303) HP(605) HA(1117) HM(1209) PM(1726) PA(2131) PP(46660)
[33] N(829) HP(3554) HA(4393) HM(4523) PM(5768) PA(6186) PP(6892)
[34] N(795) HP(3377) HA(4202) HM(4324) PM(4933) PP(6029) PA(6185)
[35] N(986) HP(1971) HA(3614) HM(3941) PM(6052) PA(9217) PP(488561)
[36] N(148) HP(551) HA(709) HM(719) PM(896) PA(980) PP(1073)
[37] N(1000) HP(1999) HA(3660) HM(3993) PM(6100) PA(7819) PP(502498)
[38] N(391) HP(1594) HA(1974) HM(2062) PM(2412) PA(2646) PP(3015)
[39] N(163) HP(607) HA(769) HM(790) PM(817) PP(871) PA(1333)
[40] N(289) HP(1133) HA(1434) HM(1478) PM(1865) PA(1928) PP(2267)
[41] N(374) HP(1497) HA(1874) HM(1947) PP(2212) PM(2398) PA(2664)
[42] N(513) HP(2112) HA(2645) HM(2731) PP(2942) PM(3183) PA(3972)
[43] N(298) HP(1168) HA(1483) HM(1538) PM(1764) PP(1772) PA(2835)
[44] N(935) HP(4002) HA(4993) HM(5182) PM(6346) PP(6876) PA(7095)
[45] N(53) HP(175) PP(218) HA(231) PM(238) HM(240) PA(374)
[46] N(279) HP(1094) HA(1372) HM(1421) PM(1464) PP(1750) PA(2032)
[47] N(605) HP(2542) HA(3149) HM(3233) PP(4127) PM(4150) PA(4583)
[48] N(203) HP(405) HA(744) HM(809) PM(1138) PA(1340) PP(21110)
[49] N(28) HP(89) PP(98) PM(108) HA(113) HM(124) PA(133)
[50] N(943) HP(1885) HA(3436) HM(3769) PM(5902) PA(7456) PP(446980)
[51] N(824) HP(3469) HA(4394) HM(4531) PM(5260) PP(5919) PA(6853)
[52] N(725) HP(3052) HA(3788) HM(3963) PP(4675) PM(4719) PA(5588)
[53] N(863) HP(3691) HA(4618) HM(4750) PM(6097) PP(6384) PA(7706)
[54] N(949) HP(4120) HA(5063) HM(5263) PM(6667) PP(7387) PA(8213)
[55] N(403) HP(1630) HA(2052) HM(2118) PM(2396) PA(2944) PP(2992)
[56] N(825) HP(3556) HA(4411) HM(4514) PM(5388) PP(6046) PA(6522)
[57] N(169) HP(641) HA(790) HM(832) PP(894) PM(937) PA(1112)
[58] N(253) HP(990) HA(1244) HM(1291) PM(1384) PP(1600) PA(1852)
[59] N(74) HP(253) HA(328) HM(340) PP(360) PM(377) PA(399)
[60] N(988) HP(4303) HA(5258) HM(5489) PM(6846) PP(7014) PA(8867)
[61] N(449) HP(1822) HA(2283) HM(2363) PP(2970) PM(3060) PA(3089)
[62] N(222) HP(844) HA(1086) HM(1123) PP(1299) PM(1383) PA(1686)
[63] N(237) HP(902) HA(1171) HM(1204) PM(1265) PA(1625) PP(1637)
[64] N(558) HP(2349) HA(2853) HM(2973) PM(3700) PP(3752) PA(4029)
[65] N(890) HP(3796) HA(4767) HM(4922) PM(6263) PP(6428) PA(6681)
[66] N(151) HP(563) HA(699) HM(746) PM(791) PP(816) PA(889)
[67] N(661) HP(2827) HA(3470) HM(3605) PM(4169) PP(4488) PA(5279)
[68] N(444) HP(1805) HA(2285) HM(2343) PM(2598) PP(3048) PA(3122)
[69] N(704) HP(1407) HA(2580) HM(2813) PM(4617) PA(5089) PP(249566)
[70] N(742) HP(3133) HA(3927) HM(4034) PM(5081) PA(5562) PP(5786)
[71] N(739) HP(3131) HA(3863) HM(4086) PM(4740) PP(4890) PA(5555)
[72] N(110) HP(394) HA(509) HM(539) PM(600) PA(713) PP(750)
[73] N(723) HP(3061) HA(3800) HM(3929) PM(4645) PA(5445) PP(5817)
[74] N(346) HP(1387) HA(1759) HM(1785) PP(2002) PM(2149) PA(2288)
[75] N(353) HP(1413) HA(1756) HM(1817) PM(2168) PP(2291) PA(2786)
[76] N(591) HP(2476) HA(3071) HM(3196) PM(4057) PP(4060) PA(4448)
[77] N(544) HP(2217) HA(2785) HM(2897) PM(3517) PP(3527) PA(3961)
[78] N(42) HP(144) PM(185) HA(185) HM(187) PP(193) PA(227)
[79] N(947) HP(4119) HA(5120) HM(5243) PM(6489) PP(7764) PA(7875)
[80] N(33) HP(65) HA(118) PM(127) HM(129) PA(181) PP(625)
[81] N(278) HP(555) HA(1024) HM(1109) PM(1506) PA(1728) PP(39335)
[82] N(430) HP(1747) HA(2196) HM(2252) PM(2459) PP(2776) PA(2959)
[83] N(83) HP(296) PP(360) HA(372) PM(376) HM(383) PA(512)
[84] N(203) HP(775) HA(990) HM(1016) PM(1179) PA(1264) PP(1286)
[85] N(804) HP(3412) HA(4310) HM(4425) PM(5020) PA(5781) PP(5951)
[86] N(731) HP(3094) HA(3865) HM(3978) PM(4658) PP(5030) PA(5491)
[87] N(483) HP(1988) HA(2479) HM(2550) PM(2808) PA(3010) PP(3217)
[88] N(743) HP(3154) HA(3888) HM(4017) PM(4978) PA(5204) PP(6647)
[89] N(136) HP(499) PP(628) HA(635) HM(672) PM(732) PA(777)
[90] N(284) HP(1130) HA(1418) HM(1438) PM(1685) PP(1711) PA(1775)
[91] N(788) HP(3356) HA(4147) HM(4306) PM(4892) PP(5627) PA(6081)
[92] N(569) HP(2352) HA(2958) HM(3042) PP(3635) PM(3673) PA(4244)
[93] N(638) HP(2654) HA(3315) HM(3447) PM(4240) PP(4313) PA(4523)
[94] N(860) HP(1719) HA(3147) HM(3436) PM(5574) PA(6410) PP(371948)
[95] N(260) HP(1020) HA(1293) HM(1326) PP(1475) PM(1508) PA(1923)
[96] N(561) HP(2306) HA(2903) HM(2989) PP(3624) PA(3841) PM(4061)
[97] N(554) HP(2275) HA(2863) HM(2999) PP(3630) PM(3637) PA(4071)
[98] N(679) HP(1357) HA(2493) HM(2713) PM(4410) PA(4906) PP(232216)
[99] N(858) HP(3703) HA(4600) HM(4734) PM(5313) PP(6401) PA(6455)
[100] N(295) HP(589) HA(1072) HM(1177) PM(1658) PA(2048) PP(44248)
[101] N(955) HP(4088) HA(5105) HM(5255) PM(6328) PP(6944) PA(8246)
[102] N(973) HP(4194) HA(5216) HM(5368) PM(6653) PP(7353) PA(7648)
[103] N(969) HP(4176) HA(5230) HM(5366) PM(6888) PP(6963) PA(8337)
[104] N(29) HP(90) PP(104) PM(114) HA(116) HM(120) PA(127)
[105] N(660) HP(2787) HA(3448) HM(3579) PM(3968) PP(5189) PA(5874)
[106] N(857) HP(1713) HA(3169) HM(3425) PM(5563) PA(6213) PP(369365)
[107] N(207) HP(777) HA(1021) HM(1025) PM(1204) PP(1225) PA(1679)
[108] N(505) HP(2057) HA(2618) HM(2681) PM(3086) PP(3121) PA(3591)
[109] N(212) HP(808) HA(1042) HM(1055) PM(1343) PP(1417) PA(1604)
[110] N(665) HP(2804) HA(3478) HM(3592) PM(4079) PP(4545) PA(5040)
[111] N(684) HP(2893) HA(3618) HM(3713) PM(4446) PP(4637) PA(5724)
[112] N(462) HP(1863) HA(2351) HM(2434) PM(2938) PP(3277) PA(3593)
[113] N(103) HP(371) PM(466) HA(482) HM(486) PA(585) PP(611)
[114] N(24) HP(73) PA(88) PP(91) HA(94) HM(98) PM(104)
[115] N(654) HP(2786) HA(3450) HM(3538) PM(4183) PP(4858) PA(5653)
[116] N(953) HP(1905) HA(3526) HM(3809) PM(5937) PA(7038) PP(456485)
[117] N(823) HP(3515) HA(4345) HM(4476) PM(5865) PP(6322) PA(6937)
[118] N(796) HP(3373) HA(4251) HM(4376) PM(5401) PP(5623) PA(6209)
[119] N(651) HP(2746) HA(3393) HM(3494) PM(3811) PP(4749) PA(5284)
[120] N(133) HP(488) PM(606) HA(621) HM(642) PP(776) PA(883)
[121] N(598) HP(1195) HA(2169) HM(2389) PM(3682) PA(4326) PP(180295)
[122] N(17) HP(53) PM(60) PP(66) HA(67) HM(72) PA(81)
[123] N(944) HP(4078) HA(5047) HM(5250) PP(6656) PM(6840) PA(7028)
[124] N(372) HP(1523) HA(1873) HM(1940) PM(2077) PA(2570) PP(2984)
[125] N(786) HP(3337) HA(4145) HM(4311) PM(5086) PP(5389) PA(6200)
[126] N(235) HP(907) HA(1135) HM(1167) PM(1406) PA(1465) PP(1871)
[127] N(291) HP(1142) HA(1432) PP(1492) HM(1498) PM(1761) PA(2531)
[128] N(400) HP(1618) HA(2006) HM(2084) PP(2361) PM(2393) PA(2677)
[129] N(476) HP(1961) HA(2456) HM(2498) PM(2830) PP(3190) PA(3451)
[130] N(504) HP(2062) HA(2602) HM(2692) PM(3190) PP(3236) PA(3581)
[131] N(626) HP(2618) HA(3278) HM(3348) PM(4244) PP(4268) PA(5794)
[132] N(291) HP(1166) HA(1455) HM(1490) PM(1671) PP(1684) PA(1897)
